        31394141 function calls (28555966 primitive calls) in 21.487 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.092    0.092 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/decorators.py:123(_wrapper_view)
        1    0.000    0.000    0.092    0.092 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/views/decorators/cache.py:54(_wrapper_view_func)
        1    0.000    0.000    0.092    0.092 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/admin/sites.py:229(inner)
       49    0.000    0.000    0.091    0.002 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/traceback.py:220(extract_stack)
       49    0.000    0.000    0.091    0.002 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/traceback.py:375(extract)
       49    0.013    0.000    0.091    0.002 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/traceback.py:397(_extract_from_extended_frame_gen)
       98    0.001    0.000    0.082    0.001 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/MySQLdb/cursors.py:135(_do_get_result)
       98    0.000    0.000    0.081    0.001 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/MySQLdb/cursors.py:362(_get_result)
       98    0.080    0.001    0.080    0.001 {method 'store_result' of '_mysql.connection' objects}
   142451    0.071    0.000    0.071    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/models.py:1379(__str__)
        1    0.000    0.000    0.067    0.067 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/admin/options.py:1888(change_view)
        1    0.000    0.000    0.067    0.067 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/decorators.py:38(_wrapper)
        1    0.000    0.000    0.067    0.067 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/admin/options.py:1744(changeform_view)
        1    0.000    0.000    0.066    0.066 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/admin/options.py:1749(_changeform_view)
   405008    0.066    0.000    0.066    0.000 {method 'values' of 'dict' objects}
201804/201801    0.065    0.000    0.065    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/context.py:62(__setitem__)
       13    0.000    0.000    0.062    0.005 /Users/miguel/work/recetas/recetas/models/ingrediente.py:12(__str__)
       13    0.000    0.000    0.062    0.005 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/fields/related_descriptors.py:201(__get__)
       13    0.000    0.000    0.062    0.005 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/fields/related_descriptors.py:196(get_object)
   402733    0.060    0.000    0.060    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/context.py:20(__enter__)
   202962    0.058    0.000    0.058    0.000 {method 'startswith' of 'str' objects}
   305680    0.057    0.000    0.057    0.000 {method 'get' of 'dict' objects}
       15    0.000    0.000    0.056    0.004 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/defaulttags.py:411(render)
